#{"t_start": 1709110770.0903513, "env_id": "CartPole-v1"}
r,l,t
30.0,30,3.288226
43.0,43,3.335905
9.0,9,3.345853
58.0,58,3.401443
14.0,14,3.416025
34.0,34,3.448149
11.0,11,3.45752
14.0,14,3.47016
11.0,11,3.480597
42.0,42,3.518775
40.0,40,3.556442
15.0,15,3.570994
13.0,13,3.582516
17.0,17,3.597316
16.0,16,3.611967
17.0,17,3.628995
17.0,17,3.651025
12.0,12,3.663498
28.0,28,3.688853
43.0,43,3.725486
14.0,14,3.736284
32.0,32,3.761135
14.0,14,3.771685
16.0,16,3.784199
43.0,43,3.825474
26.0,26,3.846179
16.0,16,3.858601
21.0,21,3.874811
33.0,33,3.899339
12.0,12,3.908705
34.0,34,3.93406
13.0,13,3.944158
27.0,27,3.966084
81.0,81,4.030083
17.0,17,4.044745
15.0,15,4.05762
17.0,17,4.072097
13.0,13,4.084124
54.0,54,4.133058
23.0,23,4.15269
36.0,36,4.182899
39.0,39,4.214932
27.0,27,4.237039
12.0,12,4.247143
50.0,50,4.287256
24.0,24,4.306385
16.0,16,4.318419
66.0,66,4.365932
29.0,29,4.386646
20.0,20,4.400916
14.0,14,4.411355
9.0,9,4.417932
18.0,18,4.431051
86.0,86,4.491616
36.0,36,4.51867
14.0,14,4.529087
12.0,12,4.537909
28.0,28,4.559664
10.0,10,4.567209
31.0,31,4.590126
16.0,16,4.602064
11.0,11,4.610376
38.0,38,4.637768
27.0,27,4.657147
12.0,12,4.665549
18.0,18,4.68072
18.0,18,4.693779
20.0,20,4.708103
29.0,29,4.728292
50.0,50,4.763898
24.0,24,4.781343
13.0,13,4.790677
16.0,16,4.801686
11.0,11,4.809583
20.0,20,4.824276
63.0,63,4.874226
33.0,33,4.898533
9.0,9,4.905226
11.0,11,4.913237
13.0,13,4.92292
10.0,10,4.930634
26.0,26,6.118511
10.0,10,6.132814
43.0,43,6.186635
24.0,24,6.229832
24.0,24,6.262781
21.0,21,6.291397
38.0,38,6.349102
16.0,16,6.366234
14.0,14,6.3794
10.0,10,6.38823
36.0,36,6.421494
13.0,13,6.437355
18.0,18,6.454882
11.0,11,6.464257
37.0,37,6.495115
14.0,14,6.505884
33.0,33,6.531131
28.0,28,6.552771
30.0,30,6.575823
27.0,27,6.59621
44.0,44,6.627523
23.0,23,6.643546
61.0,61,6.689161
46.0,46,6.722836
21.0,21,6.737579
49.0,49,6.772553
39.0,39,6.801261
18.0,18,6.814426
25.0,25,6.832081
20.0,20,6.847501
23.0,23,6.865423
16.0,16,6.87977
27.0,27,6.905562
35.0,35,6.940331
46.0,46,6.983465
55.0,55,7.032132
28.0,28,7.057168
20.0,20,7.074738
36.0,36,7.108819
12.0,12,7.119727
104.0,104,7.211272
28.0,28,7.235671
12.0,12,7.246417
11.0,11,7.255959
37.0,37,7.286624
17.0,17,7.301501
21.0,21,7.319621
21.0,21,7.336912
16.0,16,7.350459
9.0,9,7.358091
14.0,14,7.369907
25.0,25,7.393435
24.0,24,7.41472
14.0,14,7.428185
15.0,15,7.441727
52.0,52,7.493873
44.0,44,7.558232
35.0,35,7.60156
16.0,16,7.61941
13.0,13,7.632603
16.0,16,7.650619
48.0,48,7.696121
17.0,17,7.710314
30.0,30,7.734958
48.0,48,7.772655
22.0,22,7.789002
16.0,16,7.800486
12.0,12,7.809223
50.0,50,7.844982
21.0,21,7.859818
34.0,34,7.88468
13.0,13,7.894303
21.0,21,7.90972
21.0,21,7.924337
21.0,21,7.93895
32.0,32,8.82208
49.0,49,8.856298
31.0,31,8.880218
38.0,38,8.908148
9.0,9,8.91449
35.0,35,8.939674
20.0,20,8.95365
71.0,71,9.004236
41.0,41,9.045743
50.0,50,9.086431
28.0,28,9.109138
22.0,22,9.126605
24.0,24,9.147021
20.0,20,9.163194
28.0,28,9.186495
25.0,25,9.206947
31.0,31,9.233177
25.0,25,9.25323
39.0,39,9.283434
29.0,29,9.305197
25.0,25,9.324401
93.0,93,9.395426
37.0,37,9.422491
24.0,24,9.439997
51.0,51,9.478396
500.0,500,9.801665
438.0,438,10.060318
100.0,100,10.115715
111.0,111,10.177378
96.0,96,10.230298
67.0,67,10.296716
49.0,49,10.334573
63.0,63,10.381924
31.0,31,10.404728
