#{"t_start": 1710866394.7009017, "env_id": "CartPole-v1"}
r,l,t
500.0,500,1.717166
500.0,500,1.996702
500.0,500,2.251852
500.0,500,2.526553
500.0,500,2.788742
500.0,500,3.038283
500.0,500,3.299578
500.0,500,3.548738
500.0,500,3.806675
500.0,500,4.056542
500.0,500,4.308426
500.0,500,4.561847
500.0,500,4.819909
500.0,500,5.068492
500.0,500,5.327739
500.0,500,5.577781
500.0,500,5.840583
500.0,500,6.094054
500.0,500,6.352103
500.0,500,6.635673
500.0,500,6.899466
500.0,500,7.177858
500.0,500,7.44298
500.0,500,7.699375
500.0,500,7.974637
500.0,500,8.231513
500.0,500,8.484292
500.0,500,8.75677
500.0,500,9.018302
500.0,500,9.272024
500.0,500,9.528707
500.0,500,9.776415
500.0,500,10.038569
500.0,500,10.286754
500.0,500,10.562474
500.0,500,10.82312
500.0,500,11.083277
500.0,500,11.335216
500.0,500,11.595637
500.0,500,11.851995
500.0,500,12.120438
500.0,500,12.389034
500.0,500,12.641489
500.0,500,12.904253
500.0,500,13.151919
500.0,500,13.414327
500.0,500,13.676568
500.0,500,13.93687
500.0,500,14.198774
500.0,500,14.519957
500.0,500,14.791516
500.0,500,15.046444
500.0,500,15.317025
500.0,500,15.594741
500.0,500,15.855975
500.0,500,16.116445
500.0,500,16.375006
500.0,500,16.640448
500.0,500,16.902444
500.0,500,17.161917
500.0,500,17.44382
500.0,500,17.704984
500.0,500,17.96169
500.0,500,18.206455
500.0,500,18.470409
500.0,500,18.729611
500.0,500,19.00635
500.0,500,19.265869
500.0,500,19.523385
500.0,500,19.7803
500.0,500,20.028787
500.0,500,20.290689
500.0,500,20.544402
500.0,500,20.813658
500.0,500,21.074614
500.0,500,21.33462
500.0,500,21.590479
500.0,500,21.845288
500.0,500,22.101898
500.0,500,22.360712
500.0,500,22.651597
500.0,500,22.91866
500.0,500,23.178019
500.0,500,23.441199
500.0,500,23.697683
500.0,500,23.965038
500.0,500,24.229314
500.0,500,24.496248
500.0,500,24.748798
500.0,500,25.009733
500.0,500,25.262715
500.0,500,25.521108
500.0,500,25.779325
500.0,500,26.033401
500.0,500,26.294982
500.0,500,26.545362
500.0,500,26.807946
500.0,500,27.074859
500.0,500,27.338989
500.0,500,27.591815
