#{"t_start": 1710866204.3480694, "env_id": "CartPole-v1"}
r,l,t
13.0,13,2.885178
11.0,11,2.892791
15.0,15,2.905393
13.0,13,2.915052
16.0,16,2.925672
12.0,12,2.933744
13.0,13,2.942207
19.0,19,2.954582
64.0,64,2.995249
18.0,18,3.007068
33.0,33,3.02833
16.0,16,3.038506
49.0,49,3.069826
41.0,41,3.096418
30.0,30,3.115835
20.0,20,3.129061
43.0,43,3.156509
50.0,50,3.189043
14.0,14,3.198076
12.0,12,3.205808
22.0,22,3.21981
10.0,10,3.226289
12.0,12,3.233973
25.0,25,3.250018
12.0,12,3.257796
20.0,20,3.270499
47.0,47,3.300649
16.0,16,3.310944
16.0,16,3.321277
18.0,18,3.332875
23.0,23,3.347971
25.0,25,3.364276
20.0,20,3.377245
16.0,16,3.387514
15.0,15,3.39719
31.0,31,3.416766
20.0,20,3.429524
9.0,9,3.435323
16.0,16,3.445709
13.0,13,3.45447
17.0,17,3.465574
12.0,12,3.473443
19.0,19,3.48582
12.0,12,3.493517
11.0,11,3.500692
47.0,47,3.530805
12.0,12,3.538471
18.0,18,3.549867
14.0,14,3.558893
23.0,23,3.573246
30.0,30,3.592931
12.0,12,3.60085
20.0,20,3.614937
54.0,54,3.649402
17.0,17,3.66039
19.0,19,3.67221
22.0,22,3.686
18.0,18,3.697481
21.0,21,3.711062
16.0,16,3.72115
23.0,23,3.735852
11.0,11,3.742789
29.0,29,3.761185
16.0,16,3.771634
20.0,20,3.784452
13.0,13,3.792691
14.0,14,3.801487
15.0,15,3.810955
18.0,18,3.822189
32.0,32,3.842375
28.0,28,3.860416
14.0,14,3.869423
16.0,16,3.879631
11.0,11,3.886786
35.0,35,3.909233
20.0,20,3.921855
15.0,15,3.931303
20.0,20,3.943875
11.0,11,3.950855
37.0,37,3.973903
25.0,25,3.98999
15.0,15,3.999542
14.0,14,4.008458
13.0,13,4.016785
98.0,98,4.077699
17.0,17,4.088554
17.0,17,4.09927
21.0,21,4.112838
27.0,27,4.130005
14.0,14,4.138895
19.0,19,4.151226
26.0,26,4.167607
16.0,16,4.177664
37.0,37,5.16519
23.0,23,5.179294
21.0,21,5.194601
15.0,15,5.204749
17.0,17,5.215661
27.0,27,5.232599
21.0,21,5.247594
35.0,35,5.26998
40.0,40,5.295357
14.0,14,5.304602
26.0,26,5.320834
26.0,26,5.337243
11.0,11,5.34417
19.0,19,5.356394
16.0,16,5.367157
30.0,30,5.386886
13.0,13,5.395434
17.0,17,5.406743
13.0,13,5.414888
12.0,12,5.422608
23.0,23,5.437422
33.0,33,5.458242
18.0,18,5.469549
28.0,28,5.48741
14.0,14,5.497271
23.0,23,5.512158
18.0,18,5.524441
59.0,59,5.56168
14.0,14,5.570987
20.0,20,5.583858
28.0,28,5.601859
14.0,14,5.610844
58.0,58,5.64979
38.0,38,5.674089
20.0,20,5.686872
20.0,20,5.699828
20.0,20,5.71288
12.0,12,5.72052
18.0,18,5.731884
20.0,20,5.744447
43.0,43,5.773756
22.0,22,5.788093
20.0,20,5.801163
31.0,31,5.820958
18.0,18,5.832779
47.0,47,5.863115
24.0,24,5.882344
38.0,38,5.912269
26.0,26,5.932099
25.0,25,5.950809
42.0,42,5.980435
42.0,42,6.008505
67.0,67,6.051513
28.0,28,6.069369
36.0,36,6.092264
69.0,69,6.136484
12.0,12,6.143987
25.0,25,6.159699
18.0,18,6.171601
25.0,25,6.187335
38.0,38,6.212388
15.0,15,6.22192
19.0,19,6.234093
32.0,32,6.254799
14.0,14,6.263941
20.0,20,6.276538
35.0,35,6.298571
99.0,99,6.360861
37.0,37,6.383931
17.0,17,6.394757
28.0,28,6.412454
13.0,13,6.420531
32.0,32,6.441041
28.0,28,6.458802
15.0,15,6.468189
34.0,34,6.489488
53.0,53,7.341123
39.0,39,7.365196
19.0,19,7.377887
19.0,19,7.389141
15.0,15,7.398766
45.0,45,7.425899
45.0,45,7.452711
89.0,89,7.506063
16.0,16,7.51573
29.0,29,7.533421
37.0,37,7.555627
56.0,56,7.594066
21.0,21,7.608862
12.0,12,7.616621
37.0,37,7.639801
121.0,121,7.716817
81.0,81,7.767534
46.0,46,7.796247
13.0,13,7.804934
79.0,79,7.85488
33.0,33,7.876071
12.0,12,7.883523
18.0,18,7.894909
63.0,63,7.935022
96.0,96,7.997643
14.0,14,8.007661
13.0,13,8.017096
32.0,32,8.040786
30.0,30,8.061672
19.0,19,8.075248
192.0,192,8.208178
27.0,27,8.224889
28.0,28,8.242543
29.0,29,8.261263
20.0,20,8.27382
17.0,17,8.284761
72.0,72,8.32989
20.0,20,8.34263
67.0,67,8.385267
26.0,26,8.402582
59.0,59,8.441713
30.0,30,8.464292
25.0,25,8.482042
36.0,36,8.506653
54.0,54,8.545846
45.0,45,8.576781
44.0,44,8.608644
51.0,51,8.643997
24.0,24,9.911117
44.0,44,9.944412
11.0,11,9.952443
93.0,93,10.018913
79.0,79,10.086001
49.0,49,10.134858
60.0,60,10.206531
82.0,82,10.274616
33.0,33,10.295274
84.0,84,10.354462
81.0,81,10.407217
47.0,47,10.437301
64.0,64,10.49465
91.0,91,10.619896
78.0,78,10.733507
58.0,58,10.805641
75.0,75,10.934477
63.0,63,11.000726
139.0,139,11.168052
107.0,107,11.255198
64.0,64,11.298028
120.0,120,11.370247
