#{"t_start": 1711030212.498167, "env_id": "LunarLander-v2"}
r,l,t
235.491652,480,7.703137
234.339068,541,8.013345
198.025118,536,8.31071
-28.9947,479,8.577876
218.801026,461,8.833702
236.138968,483,9.103231
92.467318,700,9.497474
241.200023,444,9.745028
244.905612,487,10.014372
274.10087,425,10.249821
262.320766,343,14.008308
251.644383,372,14.266296
-12.330755,300,14.474806
283.978364,448,14.78505
232.062549,425,15.07802
249.883497,399,16.298111
-19.050139,267,16.485381
244.894258,415,16.780453
-2.012273,278,16.987406
238.607584,343,17.231758
246.158229,349,17.528381
-2.769312,328,18.644691
219.379536,374,18.90684
-67.503793,213,19.053136
264.635918,392,19.323731
239.875079,383,19.601738
165.634901,645,20.841168
247.641899,531,21.2146
255.092184,345,21.459244
-16.789298,367,21.71438
26.141393,305,21.936689
216.004346,373,23.021207
227.321621,394,23.292301
-15.134674,277,23.483674
237.319826,412,23.765932
249.156101,348,24.002399
222.327838,473,24.525551
249.606593,468,24.789138
234.817832,495,25.115049
-25.091785,466,25.389784
198.366209,587,25.731425
227.878575,432,26.872817
3.416686,351,27.118451
197.96496,445,27.433796
222.888208,381,27.696204
232.737919,362,27.951435
-21.987349,370,29.065344
225.20963,287,29.267623
247.406764,438,29.583283
256.2679,404,29.872724
293.727033,465,30.193845
10.115099,262,30.374212
240.312026,393,31.429437
239.203945,368,31.710172
-35.053232,343,31.953613
215.454621,398,32.230259
206.121682,343,32.466912
117.417417,1000,33.986359
215.826489,371,34.261186
202.094178,371,34.528146
211.206933,409,34.825752
198.763329,404,35.91755
198.120651,543,36.296486
-13.944158,249,36.471982
273.063888,382,36.763041
245.932517,483,37.205008
244.678531,462,37.47789
198.158261,493,37.782917
182.388518,620,38.141652
203.955425,466,38.446063
238.834854,394,38.748178
255.128895,327,39.861148
254.778761,378,40.136102
249.294437,363,40.383609
225.519333,361,40.629956
234.308527,370,40.887667
6.133174,299,41.111357
274.893786,315,42.18348
242.329975,326,42.405045
242.062587,336,42.632613
259.329709,314,42.847767
12.891168,293,43.046903
232.012849,333,43.275954
-3.111591,242,44.23101
27.089247,286,44.426433
216.922665,296,44.629256
230.770233,326,44.851343
14.279787,202,44.988667
229.115149,414,45.27477
-82.856339,366,45.531505
263.298907,325,46.666184
15.566393,332,46.930781
4.297717,273,47.124832
265.979336,301,47.33932
231.557219,340,47.594528
211.582823,384,47.93943
224.465418,365,49.25255
-117.34545,363,49.550124
251.899892,362,49.831739
0.926149,262,50.01166
239.0391,400,50.339396
183.262741,535,50.641483
-36.542403,350,50.837436
221.973832,477,51.105707
227.202473,488,51.380403
155.582908,521,51.771379
254.741911,449,52.857306
200.620528,557,53.240175
258.73716,336,53.472981
242.380115,375,53.728817
260.344997,406,54.005832
239.360078,366,54.995746
230.107735,453,55.30395
253.32342,397,55.574887
235.206693,343,55.806775
8.970835,253,55.982427
-19.571666,366,57.05125
-134.683873,558,57.442369
-21.012117,191,57.572677
227.672308,437,57.870384
253.952445,334,58.100315
259.594093,371,58.353037
-97.744646,491,59.479175
12.523598,361,59.727973
240.55582,411,60.010921
256.470006,433,60.309875
245.264657,351,60.55158
222.067478,398,61.609593
227.52268,456,61.926399
-2.677786,309,62.143086
224.332987,492,62.474366
237.634228,481,62.744682
224.306244,496,63.023162
14.068007,271,63.17417
214.369245,497,63.454373
256.727842,397,63.732896
255.155295,382,63.995447
-35.772356,372,64.996106
243.595794,362,65.243768
233.326057,348,65.482681
237.999737,366,65.733386
250.964808,341,65.965466
229.70551,356,66.210212
235.522229,352,67.192951
223.130774,506,67.540899
238.462164,330,67.765388
-5.717475,177,67.885801
224.231919,354,68.128582
250.792299,337,68.358736
245.28657,316,69.321142
210.414302,328,69.546703
-24.67394,368,69.796721
208.738,400,70.069337
-82.262514,413,70.355168
6.585253,307,71.372571
-12.781479,232,71.533469
228.753031,290,71.731204
258.482592,469,72.050475
237.71514,368,72.303107
226.335476,348,72.54025
176.680697,447,73.660861
-0.147902,209,73.806879
256.883928,371,74.062751
238.17579,650,74.536448
-8.761911,272,74.688056
224.109565,383,74.90139
237.225952,450,75.153173
204.774793,415,75.38589
-67.097382,501,75.738442
264.646261,394,76.009605
265.450984,489,77.134589
243.162947,328,77.360408
241.210423,326,77.588191
229.828641,324,77.810474
242.057679,291,78.009962
248.852993,391,78.279422
255.698014,356,79.345134
226.997442,289,79.54811
174.821207,466,79.869689
237.684397,383,80.130622
-13.508897,306,80.340469
195.787091,358,80.583268
278.96644,286,81.522788
239.798226,322,81.7436
269.154561,318,81.960959
-2.407708,203,82.098953
231.761423,419,82.387363
-45.195506,400,82.659854
203.483758,455,83.719438
240.050437,306,83.954995
202.554269,403,84.23798
-4.466855,258,84.416582
223.006654,368,84.669186
236.169942,316,84.885751
204.227336,338,85.86445
233.294969,339,86.097452
16.312811,396,86.394711
207.021984,551,86.70638
257.617657,362,86.909021
258.823686,410,87.138516
196.966125,473,87.404949
255.742894,305,87.61839
7.954744,264,87.80034
239.558597,332,88.028846
239.790789,350,88.271593
242.312929,303,89.238734
230.273104,327,89.465509
237.039135,313,89.684379
237.095431,305,89.893435
187.166098,485,90.22775
-3.055235,329,90.45307
268.322787,374,91.512143
244.164075,327,91.739746
259.264267,287,91.93833
224.896213,422,92.227687
25.167771,287,92.424523
257.697545,333,92.651381
267.179103,396,93.730426
233.511528,304,93.942088
230.542461,305,94.154227
287.260627,410,94.438914
226.639162,356,94.682668
254.067903,298,94.886229
259.500261,323,95.917102
273.495515,298,96.121726
